open_time,open,high,low,close,volume,return_1,return_3,rolling_vol,volume_change,future_close,label
2026-06-12 02:05:00,63474.38,63658.0,63474.38,63653.85,33.79305,0.0028272819951480344,0.003028284632282663,0.0012332570758309576,2.600179619857902,63646.21,0
2026-06-12 02:10:00,63653.86,63779.11,63653.85,63665.21,34.36716,0.00017846524601417002,0.0037683165631867688,0.0011958498959383978,0.016988996258106237,63555.98,0
2026-06-12 02:15:00,63665.2,63692.0,63591.16,63636.0,54.54878,-0.0004588063088144523,0.0025460662166270076,0.0012447744902607885,0.5872356051532919,63515.75,0
2026-06-12 02:20:00,63636.0,63672.0,63609.07,63646.21,51.47336,0.00016044377396440268,-0.0001200241619320197,0.0012443173685277998,-0.0563792627442814,63609.77,0
2026-06-12 02:25:00,63646.21,63646.21,63531.94,63555.98,66.69147,-0.0014176806442991463,-0.0017156937046151066,0.0014246851731304431,0.2956502159563703,63635.98,1
2026-06-12 02:30:00,63555.98,63598.0,63499.65,63515.75,25.25477,-0.0006329852832102079,-0.0018896536551636922,0.0014560376100896354,-0.6213193381402449,63618.58,1
2026-06-12 02:35:00,63515.74,63616.0,63515.74,63609.77,22.90823,0.0014802627694705528,-0.0005725399831348899,0.0009788097674709696,-0.09291472462429873,63602.1,0
2026-06-12 02:40:00,63609.78,63645.0,63588.0,63635.98,21.4608,0.000412043621601077,0.0012587328525184294,0.000997288943350164,-0.06318384266265886,63624.07,0
2026-06-12 02:45:00,63635.98,63636.0,63594.0,63618.58,24.34283,-0.0002734302198221794,0.0016189685235552531,0.0009858682914191676,0.13429275702676513,63583.38,0
2026-06-12 02:50:00,63618.57,63620.01,63590.0,63602.1,32.16283,-0.00025904382021735284,-0.00012057896137651625,0.0009832367505612128,0.321244489650546,63592.0,0
2026-06-12 02:55:00,63602.11,63635.98,63556.0,63624.07,22.06144,0.00034542884590282874,-0.00018715827115423078,0.0007524875789678591,-0.3140703103551522,63531.0,0
2026-06-12 03:00:00,63624.07,63649.99,63581.14,63583.38,51.65814,-0.0006395378352878067,-0.0005532974800758206,0.0007539046290401389,1.3415579400075428,63488.01,0
2026-06-12 03:05:00,63583.38,63594.0,63561.99,63592.0,18.65857,0.000135570018454656,-0.00015879978805732886,0.00041118998988055346,-0.6388067785638429,63421.17,0
2026-06-12 03:10:00,63592.0,63592.0,63519.14,63531.0,19.10769,-0.0009592401559944674,-0.0014628111656485032,0.00048058904908764575,0.02407044055359009,63441.34,0
2026-06-12 03:15:00,63530.99,63531.0,63488.01,63488.01,7.43216,-0.0006766775275062198,-0.0014999202621815977,0.0005077472036851704,-0.6110382783057502,63503.99,1
2026-06-12 03:20:00,63488.0,63488.01,63400.0,63421.17,37.04655,-0.0010527972132061691,-0.0026863441942382993,0.000579997009364724,3.9846276183505207,63472.04,1
2026-06-12 03:25:00,63421.17,63444.0,63357.7,63441.34,48.08609,0.00031803260646245946,-0.0014112795328266037,0.0005723075857719605,0.2979910410011186,63474.56,1
2026-06-12 03:30:00,63441.34,63504.0,63441.33,63503.99,25.79981,0.0009875264299272768,0.00025170106922534075,0.0008150750646312892,-0.46346625396242447,63463.27,0
2026-06-12 03:35:00,63504.0,63525.18,63468.0,63472.04,9.44798,-0.0005031179930583551,0.0008020981006815475,0.0008028564239142291,-0.6337965279589268,63511.18,1
2026-06-12 03:40:00,63472.04,63487.26,63442.21,63474.56,19.79557,3.9702520983952994e-05,0.0005236333280476124,0.0007437883488316929,1.0952171786985159,63524.82,1
2026-06-12 03:45:00,63474.56,63524.47,63458.0,63463.27,22.51461,-0.00017786653424622934,-0.0006412195517163655,0.0006994165684404781,0.1373559841924228,63514.0,1
2026-06-12 03:50:00,63463.26,63518.0,63463.26,63511.18,8.25283,0.0007549248565352773,0.0006166494727442018,0.0005651400246934642,-0.6334455715644198,63482.01,0
2026-06-12 03:55:00,63511.19,63530.0,63509.31,63524.82,12.74894,0.00021476533737829762,0.0007918132870869954,0.0005637323233256683,0.5447961487150468,63503.62,0
2026-06-12 04:00:00,63524.81,63524.82,63480.0,63514.0,24.45448,-0.0001703271256809913,0.0007993600077651486,0.0004306326952266297,0.9181579017549695,63671.03,1
2026-06-12 04:05:00,63514.0,63514.0,63426.48,63482.01,18.00888,-0.0005036684825392435,-0.0004592892149066774,0.00043076809844026266,-0.263575426670287,63736.89,1
2026-06-12 04:10:00,63482.01,63555.21,63474.0,63503.62,19.78342,0.0003404114015923554,-0.0003337278248092268,0.00044972172569687633,0.09853694399651713,63797.51,1
2026-06-12 04:15:00,63503.62,63733.09,63503.61,63671.03,87.78844,0.002636227667021096,0.0024723682967533467,0.0011117203428066308,3.4374754213376653,63746.93,1
2026-06-12 04:20:00,63671.02,63770.0,63647.99,63736.89,30.24192,0.001034379371591676,0.004014995744463734,0.0011279894626508528,-0.6555136416594258,63741.47,1
2026-06-12 04:25:00,63736.9,63805.0,63728.0,63797.51,165.06847,0.0009510975511983766,0.004627925148204204,0.0011187612796516705,4.458266869299304,63721.26,0
2026-06-12 04:30:00,63797.51,63863.98,63719.35,63746.93,65.25936,-0.0007928209110356077,0.0011920648998453576,0.0012395870830615835,-0.604652784386988,63717.0,0
2026-06-12 04:35:00,63746.92,63755.01,63706.0,63741.47,196.78992,-8.565118351577805e-05,7.18579146237186e-05,0.0011744485242417778,2.015504902285281,63704.91,0
2026-06-12 04:40:00,63741.47,63741.47,63692.0,63721.26,19.86255,-0.0003170620319863371,-0.0011951877118715482,0.001241306757338953,-0.8990672388097927,63700.0,0
2026-06-12 04:45:00,63721.26,63752.51,63703.95,63717.0,30.19615,-6.685366861858277e-05,-0.0004695128063422205,0.0007250218096767176,0.5202554556187398,63627.92,0
2026-06-12 04:50:00,63717.0,63735.56,63704.9,63704.91,46.88257,-0.00018974527990955892,-0.0005735669415845024,0.0005726515970108821,0.5526009110432952,63593.28,0
2026-06-12 04:55:00,63704.9,63720.25,63692.0,63700.0,37.67516,-7.707412191626517e-05,-0.0003336406091154487,0.0002803914348365099,-0.19639303050152757,63439.65,0
2026-06-12 05:00:00,63700.0,63721.31,63624.07,63627.92,27.89437,-0.0011315541601256696,-0.001398057033444755,0.00041307597223166795,-0.25960845289044554,63519.88,0
2026-06-12 05:05:00,63627.92,63653.18,63576.1,63593.28,12.70097,-0.0005444150932483183,-0.0017522982137484489,0.0004053357097073699,-0.5446762196099069,63477.99,0
2026-06-12 05:10:00,63593.29,63593.29,63420.74,63439.65,125.04854,-0.002415821294325382,-0.004087127158555748,0.0009160007499024902,8.845589746294968,63486.82,1
2026-06-12 05:15:00,63439.65,63540.0,63439.64,63519.88,41.17122,0.001264666498002276,-0.0016979967284802555,0.0012213849379279775,-0.6707580912180182,63463.78,0
2026-06-12 05:20:00,63519.88,63519.88,63446.0,63477.99,35.92593,-0.0006594785758411437,-0.001812927403650244,0.0012113295924075407,-0.12740185984287078,63392.0,0
2026-06-12 05:25:00,63477.99,63493.83,63472.88,63486.82,33.11444,0.00013910333329714142,0.0007435413026395388,0.0012328027389442197,-0.07825796019755082,63400.01,0
2026-06-12 05:30:00,63486.82,63500.0,63432.76,63463.78,16.77732,-0.0003629099709199224,-0.0008831880664761371,0.0012007923584273653,-0.4933533527971483,63410.01,0
2026-06-12 05:35:00,63463.79,63466.97,63341.81,63392.0,33.4947,-0.0011310388382160808,-0.0013546427667290306,0.0012353740635370678,0.9964273197387903,63365.17,0
2026-06-12 05:40:00,63391.99,63417.58,63362.0,63400.01,24.40571,0.0001263566380615977,-0.0013673704242864737,0.0008265362556022059,-0.2713560652879411,63358.2,0
2026-06-12 05:45:00,63400.0,63410.01,63349.99,63410.01,170.1093,0.00015772868174623866,-0.000847254922413998,0.0005304911350858786,5.970061514293171,63403.0,0
2026-06-12 05:50:00,63410.0,63410.0,63310.0,63365.17,52.7479,-0.0007071438720795964,-0.0004232395254921695,0.0005374709744472199,-0.6899176000371525,63321.22,0
2026-06-12 05:55:00,63365.18,63400.0,63347.87,63358.2,30.31633,-0.0001099973376541552,-0.0006594636183812064,0.0005057978580450875,-0.4252599629558712,63304.35,0
2026-06-12 06:00:00,63358.2,63404.85,63334.11,63403.0,12.32589,0.0007070907948774074,-0.00011055036894025427,0.0006602393048248685,-0.5934240721089921,63166.59,0
2026-06-12 06:05:00,63403.0,63411.5,63312.03,63321.22,22.49715,-0.0012898443291327055,-0.0006935987073024563,0.0007084019876999395,0.8251947729535152,63196.0,0
2026-06-12 06:10:00,63321.22,63348.0,63269.73,63304.35,30.00014,-0.00026641937726412657,-0.0008499294487532838,0.0006917196357801203,0.33350846662799505,63150.01,0
2026-06-12 06:15:00,63304.35,63304.35,63155.58,63166.59,164.60492,-0.002176153771423328,-0.0037286879169755593,0.0010021668782653475,4.486805061576379,62936.01,0
2026-06-12 06:20:00,63166.59,63209.13,63103.07,63196.0,28.6616,0.00046559423264747046,-0.0019775361245408796,0.0010964732725770965,-0.8258764075824708,62961.99,0
2026-06-12 06:25:00,63196.0,63201.07,63139.7,63150.01,21.11971,-0.0007277359326539612,-0.0024380631030884725,0.0010876981648778581,-0.26313569375052326,62924.08,0
2026-06-12 06:30:00,63150.0,63150.01,62865.4,62936.01,193.21053,-0.003388756391329184,-0.0036503474384163015,0.0013867092153362684,8.148351468841192,62979.2,1
2026-06-12 06:35:00,62936.01,62974.0,62829.81,62961.99,79.00468,0.0004128002394812036,-0.003702924235711169,0.0015380987514917726,-0.5910953714582741,62968.57,1
2026-06-12 06:40:00,62961.99,62973.99,62911.83,62924.08,121.14279,-0.0006021093043595549,-0.0035776716424906763,0.0015143226787786494,0.5333622008215211,62980.45,1
2026-06-12 06:45:00,62924.08,63014.34,62914.6,62979.2,129.67122,0.0008759762558308015,0.0006862525921169649,0.001553439884343896,0.07039981496216163,63097.83,1
2026-06-12 06:50:00,62979.19,62998.0,62919.99,62968.57,155.82169,-0.00016878588486357593,0.00010450749730117614,0.0014955733784908444,0.20166749414403573,63082.84,1
2026-06-12 06:55:00,62968.57,63020.0,62934.36,62980.45,69.35727,0.00018866555171892507,0.0008958414648254642,0.0015263673193379836,-0.5548933527803478,62983.33,1
2026-06-12 07:00:00,62980.46,63097.84,62980.46,63097.83,91.44164,0.001863752958259246,0.0018836377724709141,0.0008645066782353136,0.3184146377157002,63026.32,0
2026-06-12 07:05:00,63097.83,63116.98,63050.8,63082.84,33.66011,-0.00023756759939297378,0.001814714864892153,0.0009065991802375853,-0.6318951628601587,63049.99,0
2026-06-12 07:10:00,63082.85,63097.13,62983.31,62983.33,85.17371,-0.0015774495885092499,4.572847605888164e-05,0.0011576760784441577,1.530404980851221,63030.38,1
2026-06-12 07:15:00,62983.32,63079.68,62956.0,63026.32,39.0314,0.0006825615603367474,-0.0011333194818269332,0.0011361593045606834,-0.5417435732223006,63000.01,0
2026-06-12 07:20:00,63026.32,63072.0,62990.0,63049.99,29.44067,0.00037555738618411105,-0.0005207438346148674,0.001129704402750646,-0.2457183190969322,63069.87,1
2026-06-12 07:25:00,63050.0,63050.0,63008.0,63030.38,24.9744,-0.0003110230469505204,0.0007470230614989859,0.0011503453064085503,-0.15170408825614368,63062.09,1
2026-06-12 07:30:00,63030.38,63050.54,63000.0,63000.01,59.61222,-0.00048183114237920766,-0.0004174446485214478,0.0007848983401631917,1.3869330194118779,63046.36,1
2026-06-12 07:35:00,63000.01,63069.87,62972.0,63069.87,88.04474,0.0011088887128747338,0.00031530536325230507,0.0009640459929555,0.47695791232066176,63008.62,0
2026-06-12 07:40:00,63069.87,63094.66,63060.0,63062.09,100.99176,-0.00012335525663853542,0.0005030907318026578,0.0006196662899599537,0.14705046547925504,63100.8,1
2026-06-12 07:45:00,63062.09,63068.98,63017.06,63046.36,81.72737,-0.00024943670595112266,0.0007357141689341429,0.0005933077450912337,-0.1907520970027654,63134.01,1
2026-06-12 07:50:00,63046.36,63046.36,63008.0,63008.62,72.14367,-0.000598607120220751,-0.0009711451759770728,0.0006201149333438528,-0.11726426532506784,63278.61,1
2026-06-12 07:55:00,63008.61,63211.74,63008.61,63100.8,146.31512,0.0014629744311174253,0.0006138394715431428,0.000875134125289905,1.028107524887492,63304.41,1
2026-06-12 08:00:00,63100.8,63193.1,63100.8,63134.01,58.5017,0.0005263007759013227,0.0013902467961670606,0.0008159450674702481,-0.6001664079556508,63460.24,1
2026-06-12 08:05:00,63134.0,63295.04,63130.19,63278.61,46.95075,0.002290366159222179,0.004284969262935645,0.0011202456583991047,-0.19744639899353356,63508.01,1
2026-06-12 08:10:00,63278.61,63346.0,63278.0,63304.41,38.66583,0.00040772071320782644,0.003226741974745151,0.001076394140554842,-0.17645980096164593,63533.37,1
2026-06-12 08:15:00,63304.42,63470.0,63292.71,63460.24,68.51933,0.00246159785708433,0.005167262462815181,0.0011912940449326046,0.7720899822918581,63499.62,1
2026-06-12 08:20:00,63460.83,63615.84,63450.0,63508.01,75.93367,0.0007527547957588698,0.0036252376592975644,0.00089991346142026,0.10820800495276317,63501.34,0
2026-06-12 08:25:00,63508.01,63540.0,63464.99,63533.37,33.56001,0.000399319707860446,0.003616809634589435,0.0009676144277312888,-0.5580351904497702,63395.0,0
2026-06-12 08:30:00,63533.36,63541.87,63476.0,63499.62,45.1842,-0.0005312169022357871,0.0006205460300812149,0.0011756405178102367,0.3463702781971758,63426.01,0
2026-06-12 08:35:00,63499.61,63502.77,63434.63,63501.34,47.99558,2.7086776267282175e-05,-0.00010502612190188554,0.001017139602163401,0.06222042218297541,63456.01,0
2026-06-12 08:40:00,63501.33,63501.34,63380.62,63395.0,33.01646,-0.0016746103310575355,-0.0021779106003664284,0.001380553025311352,-0.3120937386317656,63470.81,1
2026-06-12 08:45:00,63395.01,63462.96,63354.69,63426.01,83.18004,0.0004891552961590051,-0.0011592195354870327,0.0008949257864012367,1.5193506511600576,63438.0,1
2026-06-12 08:50:00,63426.01,63475.4,63418.0,63456.01,31.96593,0.0004729920737565063,-0.0007138432039386355,0.0008483363550894026,-0.6157019159884991,63517.15,1
2026-06-12 08:55:00,63456.02,63492.82,63456.02,63470.81,37.34634,0.00023323243929129767,0.0011958356337249398,0.0008298759265427309,0.1683170175245956,63566.0,1
2026-06-12 09:00:00,63470.81,63514.0,63438.0,63438.0,23.55269,-0.0005169305386207856,0.00018903916547796662,0.000828630788434651,-0.36934409101400567,63589.87,1
2026-06-12 09:05:00,63438.01,63555.16,63438.01,63517.15,34.23632,0.0012476748951733008,0.0009635021174512204,0.001013417797506659,0.4536055117271107,63671.04,1
2026-06-12 09:10:00,63517.15,63584.78,63494.0,63566.0,23.26512,0.000769083625445921,0.0014997445282327604,0.0005868731354286859,-0.3204550021731307,63771.85,1
2026-06-12 09:15:00,63565.99,63606.0,63555.25,63589.87,26.72215,0.00037551521253509357,0.0023939909833223805,0.0005871594941777701,0.1485928290935099,63904.47,1
2026-06-12 09:20:00,63589.87,63714.54,63589.87,63671.04,71.37504,0.0012764611721960417,0.002422810217397986,0.0006827028522114461,1.6710066368162741,63854.43,1
2026-06-12 09:25:00,63671.03,63789.03,63670.32,63771.85,44.0949,0.001583294383129319,0.003238366422301242,0.0007688595870334315,-0.3822084022649934,63888.82,1
2026-06-12 09:30:00,63771.85,63953.84,63766.32,63904.47,115.72558,0.0020796009524579606,0.004947328874866264,0.0005985495734554842,1.624466321502033,63838.0,0
2026-06-12 09:35:00,63904.48,63911.09,63844.0,63854.43,58.96629,-0.0007830438152448549,0.0028802733550448156,0.001012254522130908,-0.4904645109577329,63784.0,0
2026-06-12 09:40:00,63854.43,63904.0,63826.87,63888.82,42.99656,0.0005385687414325435,0.0018341948681119824,0.001021794457912865,-0.2708281290886708,63752.93,0
2026-06-12 09:45:00,63888.81,63938.0,63830.51,63838.0,31.53197,-0.0007954443359573515,-0.001040146330921754,0.0012216866755807541,-0.26663970326928477,63712.74,0
2026-06-12 09:50:00,63838.01,63861.99,63784.0,63784.0,19.71266,-0.0008458911620038423,-0.0011029775068073233,0.0013081819677874258,-0.37483576192670487,63830.26,1
2026-06-12 09:55:00,63784.01,63847.88,63744.56,63752.93,32.34283,-0.0004871127555500232,-0.0021269762064787257,0.0011661180681407837,0.6407136327618901,63771.98,1
2026-06-12 10:00:00,63752.93,63752.93,63690.46,63712.74,32.04951,-0.0006304023987603324,-0.001962154202825972,0.0005258965500731023,-0.009069088883069343,63767.05,1
2026-06-12 10:05:00,63712.74,63830.26,63693.82,63830.26,140.86204,0.0018445290533730674,0.0007252602533551755,0.0010631802845126482,3.395138646425484,63800.0,0
2026-06-12 10:10:00,63830.26,63852.0,63716.79,63771.98,178.5966,-0.000913046570701681,0.00029880979587915135,0.001064175295867634,0.2678831003725346,63618.81,0
2026-06-12 10:15:00,63771.99,63787.21,63719.55,63767.05,105.56642,-7.730667920302636e-05,0.0008524197829193891,0.0010379855762155405,-0.4089113678535874,63741.02,0
2026-06-12 10:20:00,63767.04,63800.0,63750.0,63800.0,40.45455,0.0005167245466113357,-0.0004740698220562223,0.0010132035721878289,-0.6167858112456593,63710.0,0
2026-06-12 10:25:00,63800.0,63814.0,63588.34,63618.81,131.12113,-0.0028399686520376166,-0.002401838550410429,0.0015644245996820137,2.2411961077307745,63684.0,1
2026-06-12 10:30:00,63618.82,63741.03,63618.81,63741.02,77.23526,0.0019209727437530244,-0.0004082045507829424,0.0018016905397306036,-0.4109625199233716,63727.24,0
2026-06-12 10:35:00,63741.03,63762.32,63695.99,63710.0,43.7451,-0.000486656787105022,-0.0014106583072099887,0.0015817971580442825,-0.4336123164471771,63708.01,0
2026-06-12 10:40:00,63710.01,63720.76,63667.63,63684.0,25.90673,-0.00040809919949769125,0.0010246969410463436,0.0015567350184539186,-0.4077798427709618,63702.01,1
2026-06-12 10:45:00,63683.99,63742.21,63672.6,63727.24,18.05852,0.0006789774511650748,-0.00021618731548378456,0.0016014548616121618,-0.30294097325289604,63811.78,1
2026-06-12 10:50:00,63727.24,63736.65,63692.0,63708.01,17.35171,-0.00030175479120064796,-3.123528488457872e-05,0.0015727090197873927,-0.03913997381845247,63764.0,1
2026-06-12 10:55:00,63708.0,63739.02,63666.0,63702.01,61.58756,-9.417968007474631e-05,0.0002828025877772422,0.0009347468858264703,2.5493654515894977,63831.35,1
2026-06-12 11:00:00,63702.01,63871.67,63684.44,63811.78,50.40643,0.0017231795354650803,0.0013265912661524215,0.0008634547663618169,-0.1815485140180907,63775.0,0
2026-06-12 11:05:00,63811.79,63884.0,63764.0,63764.0,26.62152,-0.0007487645698019962,0.0008788533812309485,0.0009096419238168461,-0.4718626175271686,63869.99,1
2026-06-12 11:10:00,63764.01,63850.0,63750.0,63831.35,21.38548,0.0010562386299479698,0.002030391191737868,0.0009289105059791835,-0.19668448683621365,63828.0,0
2026-06-12 11:15:00,63831.35,63850.0,63762.07,63775.0,17.9942,-0.0008827950529011197,-0.0005763826052179732,0.0010421763164207964,-0.15857862437504333,63748.61,0
2026-06-12 11:20:00,63774.99,63870.0,63774.99,63869.99,24.30789,0.0014894551156408031,0.001662223198042767,0.0011466811114105135,0.35087361483144575,63694.63,0
